model,region,n,n_mal,roc_auc,f1@0.5,fnr@0.5,fpr@0.5,tpr@0.01,tpr@0.001,novel_tpr@0.01,singleton_tpr@0.01,known_tpr@0.01,lowcons_tpr@0.01,n_novel,n_single,fpr_at_iid_thr
gtformer_plain_s2,NEAR,208337,66493,0.8499127904794453,0.6556520080129734,0.4831636412855489,0.02799554440089112,0.29452724346923737,0.12052396492863911,0.11325703385789222,0.10486464754757438,0.37032189973614776,0.07914361318258359,4194.0,14924.0,
gtformer_plain_s2,FAR,612430,213274,0.8908660072191072,0.3482600020680068,0.7868047675759821,0.0059575704736995055,0.292426643660268,0.09675816086349016,0.24003508002631002,0.16895053475935828,0.5890923309702317,0.14809044133632873,22805.0,131648.0,
gtformer_plain_s2,year2013,9489,4729,0.9950401243178599,0.9683611052520565,,,0.9376189469232395,,,,,,,,0.010084033613445379
gtformer_plain_s2,year2014,5797,2252,0.9943084598676745,0.958670260557053,,,0.8960923623445826,,,,,,,,0.009590973201692525
gtformer_plain_s2,year2016,109193,45134,0.9403369655333491,0.7929946836924172,,,0.529334869499712,,,,,,,,0.018826394417646233
gtformer_plain_s2,year2017,99144,21359,0.6789037914164484,0.24355060296137995,,,0.10936841612435039,,,,,,,,0.01397441666131002
gtformer_plain_s2,year2018,104292,39350,0.6902295511306993,0.23236859978529018,,,0.09659466327827192,,,,,,,,0.009162021496104216
gtformer_plain_s2,year2019,91050,41585,0.9401711784897246,0.5393273969049883,,,0.29517854995791754,,,,,,,,0.006165975942585666
gtformer_plain_s2,year2020,102073,46355,0.9313620356022685,0.36316499378142136,,,0.16358537374608995,,,,,,,,0.0035895042894576257
gtformer_plain_s2,year2021,81155,35627,0.9179482690751548,0.17605508096391687,,,0.05422853453841188,,,,,,,,0.0018010894394658232
gtformer_plain_s2,year2022,86416,41648,0.9402735918364766,0.3744498539435248,,,0.1592633499807914,,,,,,,,0.0008934953538241601
gtformer_plain_s2,year2023,54354,7892,0.8644815876434225,0.2465783664459161,,,0.09693360364926508,,,,,,,,0.0005165511600878137
gtformer_plain_s2,year2024,48427,794,0.7712900894597076,0.04866743916570104,,,0.012594458438287154,,,,,,,,0.0005248462200575231
gtformer_plain_s2,year2025,44663,23,0.6514614500545426,0.0,,,0.0,,,,,,,,0.0005376344086021505
gtformer_plain_s3,IID,15286,6981,0.9949524386351498,0.9693347563144789,0.02420856610800748,0.03154726068633353,0.9329608938547486,0.6398796733992265,0.15384615384615385,0.79,0.9432095006090134,0.8862921348314606,13.0,400.0,
gtformer_plain_s3,NEAR,208337,66493,0.8437311838656921,0.6735655548369214,0.45182199630036246,0.03727334254533149,0.24746965846028907,0.08952822101574602,0.11015736766809728,0.11270436880192977,0.30207915567282323,0.06774115949001684,4194.0,14924.0,
gtformer_plain_s3,FAR,612430,213274,0.8965830274871999,0.4361326441168301,0.7165477273366655,0.008758480393630561,0.306900981835573,0.08211033693746073,0.24078053058539794,0.2014690690325717,0.5685044456911648,0.15214870642800202,22805.0,131648.0,
gtformer_plain_s3,year2013,9489,4729,0.9951104040685845,0.9689532200545417,,,0.939522097695073,,,,,,,,0.009873949579831932
gtformer_plain_s3,year2014,5797,2252,0.994441424266034,0.9701393497013935,,,0.9191829484902309,,,,,,,,0.00930888575458392
gtformer_plain_s3,year2016,109193,45134,0.9384268328256924,0.8322856728398047,,,0.5675987060752427,,,,,,,,0.02464915156340249
gtformer_plain_s3,year2017,99144,21359,0.6831454736530493,0.1587861679604799,,,0.062034739454094295,,,,,,,,0.016635598123031434
gtformer_plain_s3,year2018,104292,39350,0.7119107009257053,0.22903387212565537,,,0.10233799237611181,,,,,,,,0.01221089587632041
gtformer_plain_s3,year2019,91050,41585,0.9369843281996769,0.6184789849068252,,,0.3426235421425995,,,,,,,,0.009420802587688265
gtformer_plain_s3,year2020,102073,46355,0.9332918912912257,0.49036388790579455,,,0.22034300506957177,,,,,,,,0.005671416777343049
