format,group,n,general,histogram,byteentropy,strings,header,section,imports,exports,datadirectories,richheader,authenticode,pefilewarnings
Win32,benign,3000,0.002909769729994402,0.104601631978492,0.06290386290346595,0.11810216011826005,0.1971277880508806,0.10254758678698644,0.12918328669697735,0.011336479378891741,0.10902688222315088,0.016772341099723545,0.07037842059335782,0.07510979043981925
Win32,malware,3000,0.005572346384313819,0.1126366274513928,0.06922778144893686,0.12472866862654496,0.16121002529241435,0.1646820363996656,0.1275545688691468,0.007151385971551249,0.09214301725510378,0.016563375873761964,0.03531266996376729,0.08321749646340054
Win32,challenge,3225,0.015023493344551686,0.129464603573933,0.08638394063879205,0.12418779850134727,0.1396457529605615,0.12880710120474612,0.1577002746934029,0.007268282555764639,0.09504482635885943,0.018068927716705974,0.045594754643867794,0.05281024380746776
Win64,benign,3000,0.0014358410398975343,0.12966032442630895,0.08659364342396778,0.1729379329433801,0.10240920152309373,0.0760625740902026,0.19292326985858235,0.019021769865681475,0.10277165815970521,0.023043395028011563,0.0704897563867292,0.02265063325443934
Win64,malware,3000,0.0021103283364359714,0.13592168178918448,0.08454559090917407,0.19183235333836893,0.11196203248245991,0.12109423385415313,0.1423710768886469,0.010570361192762083,0.0967301375229195,0.021007456230583605,0.03304066216368903,0.04881408529162246
Win64,challenge,814,0.005515691897602144,0.13449760463520857,0.08968530566694982,0.19284075093227332,0.09787656444509935,0.08947118542666123,0.18136760234916657,0.018327236089594395,0.10400149451516423,0.021205177584813863,0.04190284947207892,0.023308536985387554
Dot_Net,benign,3000,0.0005731635069260165,0.19067750624206176,0.07717715584016235,0.33006221895320964,0.20813078424381984,0.04765080763167826,0.0271792607093665,7.684984472204846e-05,0.06427459828780299,0.0,0.050697950279034225,0.0034997044612162555
Dot_Net,malware,3000,0.0007829262682167587,0.18177878535334402,0.08009385488724151,0.32357845161385285,0.22164933000959672,0.07208099360088176,0.024645193038422518,0.00011593283458898901,0.0708781533540919,0.0,0.017010457510985833,0.007385921528777242
Dot_Net,challenge,829,0.0004999764864807221,0.19327576479401312,0.08559225866260738,0.35769625879220424,0.19478971231968314,0.03836337116970643,0.022595389999525695,0.00011946335889390361,0.08038619674803003,0.0,0.02383940867675492,0.002842198992100517
APK,benign,3000,0.00417013691078656,0.31099432058323245,0.3163188832939054,0.3685166592120756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APK,malware,3000,0.003566257315771571,0.30758515712030415,0.3271453986562854,0.3617031869076388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APK,challenge,256,0.003407497150837293,0.3085469349282349,0.3262428267141502,0.36180274120677747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELF,benign,2989,0.010248614794535487,0.25096446694952035,0.1585755567486739,0.5802113615072702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELF,malware,3000,0.007851855994696498,0.2544028025392269,0.13033652962340364,0.6074088118426728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELF,challenge,386,0.009572748541067254,0.2537522601275865,0.1572877450321044,0.5793872462992418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDF,benign,3000,0.018361458482662362,0.2742388591585128,0.09697503646495578,0.6104246458938691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDF,malware,3000,0.014045220056003947,0.3061910520245892,0.07966057038149617,0.6001031575379105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDF,challenge,805,0.01624274133060708,0.2767307418938934,0.08196232958563997,0.6250641871898596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
