dataset,subset,model,threshold_rule,TP,FP,TN,FN,accuracy,balanced_acc,precision,recall_TPR,specificity_TNR,FPR,FNR,F1,MCC,ROC_AUC,PR_AUC
EMBER2024,Win32 test,LightGBM,val benign 1% FPR,173972,1669,178325,6028,0.9786190880959127,0.978619289902256,0.9904976628463741,0.9665111111111111,0.9907274686934009,0.00927253130659911,0.03348888888888889,0.9783573884900785,0.9575190107998612,0.9982001806387374,0.9983431435509353
EMBER2024,Win32 challenge-vs-test-benign,LightGBM,val benign 1% FPR,1941,1669,178325,1284,0.9838826759233485,0.79629396690484,0.5376731301939058,0.6018604651162791,0.9907274686934009,0.00927253130659911,0.39813953488372095,0.5679590343818581,0.5606980290462158,0.9670842525069527,0.6440968612661958
EMBER2024,Win32 test,GT-Former (tuned),val benign 1% FPR,172103,1541,178453,7897,0.9737828963816063,0.9737831906433918,0.9911255211812674,0.9561277777777778,0.9914386035090058,0.008561396490994144,0.04387222222222222,0.9733121444164188,0.948157143520232,0.9976161747984191,0.9978545274047894
EMBER2024,Win32 challenge-vs-test-benign,GT-Former (tuned),val benign 1% FPR,1605,1541,178453,1620,0.982747422483476,0.7445565110568285,0.5101716465352829,0.49767441860465117,0.9914386035090058,0.008561396490994144,0.5023255813953489,0.5038455501491131,0.49510742589194806,0.9753839425999816,0.6390852925398302
EMBER2024,Win32 test,MLP,val benign 1% FPR,170532,1485,178509,9468,0.9695744929082152,0.9695748624954166,0.9913671323183174,0.9474,0.991749724990833,0.008250275009166972,0.0526,0.9688850254391124,0.9400740417187764,0.9974080183382656,0.997596416021132
EMBER2024,Win32 challenge-vs-test-benign,MLP,val benign 1% FPR,1550,1485,178509,1675,0.9827528804327063,0.7361849400147964,0.5107084019769358,0.4806201550387597,0.991749724990833,0.008250275009166972,0.5193798449612403,0.4952076677316294,0.48667452282572143,0.9715837771681106,0.5590192901583858
EMBER2024,Win32 test,Tuned GT-Former + LightGBM,val benign 1% FPR,174466,1560,178434,5534,0.9802941160130446,0.980294299995185,0.9911376728437844,0.9692555555555555,0.9913330444348145,0.008666955565185507,0.030744444444444446,0.9800744889418188,0.9608224487075567,0.9984083242280916,0.9985455350478594
EMBER2024,Win32 challenge-vs-test-benign,Tuned GT-Former + LightGBM,val benign 1% FPR,1973,1560,178434,1252,0.9846522467648006,0.8015579950856243,0.5584489102745542,0.6117829457364341,0.9913330444348145,0.008666955565185507,0.3882170542635659,0.5839005622965374,0.5767210157085239,0.9752169783781768,0.6697362006693232
EMBER2024,Win64 test,LightGBM,val benign 1% FPR,58557,446,59547,1443,0.9842574150158759,0.9842578996716284,0.9924410623188652,0.97595,0.9925657993432567,0.007434200656743287,0.02405,0.9841264505936825,0.9686486135592685,0.9987561134910184,0.9988938255258923
EMBER2024,Win64 challenge-vs-test-benign,LightGBM,val benign 1% FPR,427,446,59547,387,0.986300919302054,0.7585679119566406,0.48911798396334477,0.5245700245700246,0.9925657993432567,0.007434200656743287,0.47542997542997545,0.5062240663900415,0.4996010733018345,0.9486662264569689,0.4264341950369567
EMBER2024,Win64 test,GT-Former (tuned),val benign 1% FPR,58465,556,59437,1535,0.9825739834823698,0.9825744593813723,0.9905796242015554,0.9744166666666667,0.9907322520960778,0.009267747903922124,0.025583333333333333,0.982431671721797,0.9652765178529114,0.9981365339845203,0.9983366944941218
EMBER2024,Win64 challenge-vs-test-benign,GT-Former (tuned),val benign 1% FPR,428,556,59437,386,0.9845083625240515,0.7582653889473019,0.4349593495934959,0.5257985257985258,0.9907322520960778,0.009267747903922124,0.4742014742014742,0.4760845383759733,0.4704647113541677,0.9377310338130767,0.40350868673096735
EMBER2024,Win64 test,MLP,val benign 1% FPR,58269,544,59449,1731,0.9810405606993742,0.9810411377160668,0.9907503443116318,0.97115,0.9909322754321338,0.009067724567866252,0.02885,0.980852263641184,0.9622695116588748,0.9978079071725036,0.9980543455878651
EMBER2024,Win64 challenge-vs-test-benign,MLP,val benign 1% FPR,399,544,59449,415,0.9842287894485833,0.740552132802062,0.42311770943796395,0.49017199017199015,0.9909322754321338,0.009067724567866252,0.5098280098280098,0.4541832669322709,0.44746903495648416,0.9391331732354853,0.3771969766004446
EMBER2024,Win64 test,Tuned GT-Former + LightGBM,val benign 1% FPR,58901,556,59437,1099,0.9862075287725117,0.9862077927147056,0.990648704105488,0.9816833333333334,0.9907322520960778,0.009267747903922124,0.018316666666666665,0.9861456423650351,0.972454900679435,0.9988424202268043,0.9989658655503203
EMBER2024,Win64 challenge-vs-test-benign,Tuned GT-Former + LightGBM,val benign 1% FPR,473,556,59437,341,0.9852484089002911,0.7859066665885794,0.45966958211856174,0.581081081081081,0.9907322520960778,0.009267747903922124,0.4189189189189189,0.513293543136191,0.5094932003452421,0.9506144164812675,0.44625762756585113
