format,group,feature,index,mean_abs_shap,mean_shap
ELF,malware,strings[18],537,0.8373161655003285,0.5385666767152157
ELF,malware,strings[66],585,0.7941872637924797,0.596945570979718
ELF,malware,strings[144],663,0.7172396495939376,0.28508729778071146
ELF,malware,strings[106],625,0.5430316028439391,0.2599389031535757
ELF,malware,strings[104],623,0.5405751465750858,0.3250473632763819
ELF,malware,strings[149],668,0.531254844044913,0.24356085179176357
ELF,malware,strings[1],520,0.49661745184211653,0.36189814899982437
ELF,malware,strings[42],561,0.3846675053003583,0.2523329183590842
ELF,malware,strings[105],624,0.31602844982463024,0.20425790602555458
ELF,malware,histogram[64],71,0.2718926606728495,0.1944414175968329
ELF,malware,histogram[95],102,0.2273959076652684,0.15081818007550551
ELF,malware,strings[124],643,0.21059225797976794,0.12791090710342454
ELF,malware,strings[120],639,0.2088553257232509,0.10194652605971553
ELF,malware,strings[146],665,0.20866317516002247,0.1233673183058736
ELF,malware,strings[68],587,0.20208662438170907,0.12866884675839915
ELF,challenge,strings[18],537,0.8414156664588928,-0.062451462743684946
ELF,challenge,strings[144],663,0.565161606040483,-0.19468850364452261
ELF,challenge,strings[106],625,0.5460693605265832,0.10417472412103367
ELF,challenge,strings[104],623,0.4640319833671177,-0.07400303062759049
ELF,challenge,strings[149],668,0.46372953812522905,0.0022721554254269325
ELF,challenge,strings[66],585,0.4140323438583035,-0.06171823420988637
ELF,challenge,strings[42],561,0.3348718796193853,0.2012483793526038
ELF,challenge,strings[1],520,0.2941271899137489,0.018702402563630153
ELF,challenge,strings[105],624,0.2656814625740557,0.041658062200665834
ELF,challenge,strings[124],643,0.22607246354463564,0.06443573007612367
ELF,challenge,strings[108],627,0.22029605749176212,0.09110570402576641
ELF,challenge,strings[120],639,0.21512822330488068,0.031225794361435282
ELF,challenge,strings[68],587,0.20931838201552222,-0.04369029585061667
ELF,challenge,histogram[64],71,0.1967549343714525,0.03026255884932491
ELF,challenge,strings[146],665,0.19037242517989728,-0.0313881798094782
PDF,benign,strings[103],622,2.8213063891955104,-2.0410560576272214
PDF,benign,strings[125],644,0.6947270234890284,-0.6061684189292156
