format,expert0,expert1,expert2,expert3,expert4,expert5
Win32,0.13689620792865753,0.24030040204524994,0.02456081658601761,0.08440250158309937,0.2884228229522705,0.22541728615760803
Win64,0.08687698841094971,0.05253354087471962,0.15217788517475128,0.2526170015335083,0.36732620000839233,0.08846842497587204
Dot_Net,0.15811988711357117,0.16016343235969543,0.1412908434867859,0.14841285347938538,0.3554396629333496,0.03657340630888939
APK,0.12899287045001984,0.1675470918416977,0.22187742590904236,0.14287959039211273,0.0992567390203476,0.23944634199142456
ELF,0.24031025171279907,0.09026343375444412,0.057667750865221024,0.1759098619222641,0.1693030744791031,0.2665456533432007
PDF,0.15746644139289856,0.12985795736312866,0.02453642711043358,0.18006180226802826,0.31281477212905884,0.195262610912323
