file_type,variant,n,roc_auc,pr_auc,tpr@0.01,tpr@0.001,ch_det@0.01(test-thr),ch_det@0.01(val-thr),test_tpr@0.01(val-thr),test_fpr@0.01(val-thr),ch_det@0.001(test-thr),ch_det@0.001(val-thr),test_tpr@0.001(val-thr),test_fpr@0.001(val-thr),n_test_mal_known_fam,n_test_mal_novel_fam,n_test_mal_nofam,tpr@0.01_known_fam,tpr@0.01_novel_fam,tpr@0.01_nofam,ch_det@0.01_known_fam,ch_det@0.01_novel_fam,ch_det@0.01_nofam,tpr@0.01_lowconsensus_q1,tpr@0.01_highconsensus,wk52_tpr@0.01,wk53_tpr@0.01,wk54_tpr@0.01,wk55_tpr@0.01,wk56_tpr@0.01,wk57_tpr@0.01,wk58_tpr@0.01,wk59_tpr@0.01,wk60_tpr@0.01,wk61_tpr@0.01,wk62_tpr@0.01,wk63_tpr@0.01,best_iter,train_sec,infer_us
APK,base,48000,0.9842493420138889,0.9853701253583631,0.8054583333333334,0.5317916666666667,0.32421875,0.3046875,0.7884166666666667,0.008458333333333333,0.12109375,0.1015625,0.47841666666666666,0.000625,17877,91,6032,0.8110421211612686,0.6373626373626373,0.7904509283819628,0.30412371134020616,0.0,0.43636363636363634,0.7327355670913953,0.8313212038768917,0.823,0.8095,0.8035,0.816,0.804,0.792,0.836,0.8105,0.758,0.783,0.8305,0.7965,499.0,323.922315120697,6.655101974805196
Dot_Net,base,59953,0.9979518100579798,0.9980315595679592,0.957,0.8440666666666666,0.7925211097708083,0.8130277442702051,0.9633,0.011651587487063065,0.6429433051869723,0.6634499396863691,0.872,0.001669281874937402,24967,218,4815,0.9678375455601393,0.8623853211009175,0.9046728971962616,0.43373493975903615,0.1,0.8943338437978561,0.8842942345924454,0.9813404586951681,0.9648,0.9584,0.9616,0.954,0.9612,0.9556,0.9604,0.9544,0.96,0.956,0.9504,0.9464,487.0,269.26349234580994,7.795599159791871
ELF,base,5989,0.9844797591167617,0.9874011778000111,0.8843333333333333,0.57,0.18652849740932642,0.39896373056994816,0.9313333333333333,0.018066242890598862,0.0025906735751295338,0.16580310880829016,0.8336666666666667,0.008698561391769822,2835,28,137,0.9065255731922398,0.2857142857142857,0.24087591240875914,0.24427480916030533,0.0,0.16326530612244897,0.6364749082007344,0.9578561612459917,0.872,0.952,0.916,0.872,0.952,0.864,0.824,0.78,0.78,0.852,0.888,0.892,198.0,43.65790796279907,5.36794116290429
PDF,base,12000,0.9906348333333335,0.9926944628500614,0.9241666666666667,0.7951666666666667,0.5639751552795031,0.6459627329192547,0.9445,0.022833333333333334,0.3142857142857143,0.4124223602484472,0.8686666666666667,0.002,1307,44,4649,0.891354246365723,0.8181818181818182,0.9343944934394494,0.5190839694656488,0.5,0.5729166666666666,0.8339793281653747,0.9555256064690026,0.986,0.968,0.872,0.904,0.896,0.932,0.926,0.914,0.906,0.906,0.934,0.946,223.0,61.65523052215576,4.080673058827718
Win64,base,119993,0.9987561134910184,0.9988938255258923,0.9806833333333334,0.9197666666666666,0.5786240786240786,0.5245700245700246,0.97595,0.007434200656743287,0.11302211302211303,0.1167076167076167,0.92035,0.001000116680279366,46046,1225,12729,0.9837988098857664,0.9648979591836735,0.9708539555346061,0.6435045317220544,0.23076923076923078,0.5425531914893617,0.9615511008872822,0.9871608797588478,0.9796,0.979,0.9806,0.9806,0.9838,0.9814,0.9786,0.9782,0.9854,0.985,0.9812,0.9746,497.0,588.0395705699921,11.241797726591832
