file_type,variant,n,roc_auc,pr_auc,tpr@0.01,tpr@0.001,ch_det@0.01(test-thr),ch_det@0.01(val-thr),test_tpr@0.01(val-thr),test_fpr@0.01(val-thr),ch_det@0.001(test-thr),ch_det@0.001(val-thr),test_tpr@0.001(val-thr),test_fpr@0.001(val-thr),n_test_mal_known_fam,n_test_mal_novel_fam,n_test_mal_nofam,tpr@0.01_known_fam,tpr@0.01_novel_fam,tpr@0.01_nofam,ch_det@0.01_known_fam,ch_det@0.01_novel_fam,ch_det@0.01_nofam,tpr@0.01_lowconsensus_q1,tpr@0.01_highconsensus,wk52_tpr@0.01,wk53_tpr@0.01,wk54_tpr@0.01,wk55_tpr@0.01,wk56_tpr@0.01,wk57_tpr@0.01,wk58_tpr@0.01,wk59_tpr@0.01,wk60_tpr@0.01,wk61_tpr@0.01,wk62_tpr@0.01,wk63_tpr@0.01,best_iter,train_sec,infer_us
Win64,gtformer_tuned,119993,0.9981365339845203,0.9983366944941218,0.97615,0.8739333333333333,0.5307125307125307,0.5257985257985258,0.9744166666666667,0.009267747903922124,0.11179361179361179,0.128992628992629,0.8925333333333333,0.0012168086276732285,46046,1225,12729,0.9815184815184815,0.9567346938775511,0.958598475921125,0.6072507552870091,0.23076923076923078,0.4851063829787234,0.9489976996385147,0.9853745673774701,0.9768,0.972,0.9718,0.9722,0.9806,0.9782,0.9766,0.9718,0.9836,0.982,0.9796,0.9686,0.0,1322.849681854248,20.198617446409962
Win64,gtformer_tuned_s1,119993,0.9980462402558076,0.9982963554915089,0.9764833333333334,0.8613,0.5343980343980343,0.4963144963144963,0.9740666666666666,0.009184404847232177,0.09828009828009827,0.20147420147420148,0.9085833333333333,0.0017168669678129115,46046,1225,12729,0.9817573730617208,0.9526530612244898,0.9596983266556681,0.6042296072507553,0.15384615384615385,0.4957446808510638,0.9491291488662504,0.9857764876632801,0.977,0.9722,0.9714,0.9722,0.9806,0.979,0.977,0.9726,0.983,0.984,0.9786,0.9702,0.0,1295.2842152118683,18.81078737402972
Win64,gtformer_tuned_s2,119993,0.9980280820262363,0.9982293619381533,0.9771333333333333,0.87805,0.542997542997543,0.5294840294840295,0.97645,0.00968446318737186,0.14127764127764128,0.20393120393120392,0.9043666666666667,0.0016668611337989432,46046,1225,12729,0.9827346566477001,0.9616326530612245,0.9583627936208657,0.6193353474320241,0.38461538461538464,0.49361702127659574,0.9496549457771936,0.986468683711064,0.9766,0.971,0.9728,0.9732,0.979,0.9806,0.9788,0.9736,0.9842,0.9844,0.9806,0.9708,0.0,1290.113174200058,18.815436807539157
Win64,gtformer_tuned_s3,119993,0.9979192791936837,0.998074330963105,0.97725,0.8646,0.5528255528255528,0.5257985257985258,0.9760333333333333,0.009551114296667945,0.11179361179361179,0.13636363636363635,0.8793166666666666,0.0011501341823212708,46046,1225,12729,0.982474047691439,0.9542857142857143,0.9605624950899521,0.6344410876132931,0.3076923076923077,0.502127659574468,0.9508379888268157,0.9862230657586245,0.979,0.9736,0.9726,0.9726,0.9792,0.9802,0.9774,0.9732,0.9838,0.9826,0.9804,0.9724,0.0,1320.0923268795013,21.228888199478057
Win64,gtformer_tuned_s4,119993,0.9980311683585308,0.998139280628499,0.9757166666666667,0.8675333333333334,0.5442260442260443,0.5577395577395577,0.9774666666666667,0.010701248478989215,0.11302211302211303,0.11793611793611794,0.8650333333333333,0.0009834480689413765,46046,1225,12729,0.9818659601268297,0.9591836734693877,0.9550632414172362,0.6163141993957704,0.3076923076923077,0.5,0.9448570489648374,0.9862007368538573,0.9742,0.9696,0.9742,0.9692,0.978,0.9796,0.9762,0.9716,0.9834,0.9854,0.9794,0.9678,0.0,1331.107019662857,19.20056289629997
