file_type,variant,n,roc_auc,pr_auc,tpr@0.01,tpr@0.001,ch_det@0.01(test-thr),ch_det@0.01(val-thr),test_tpr@0.01(val-thr),test_fpr@0.01(val-thr),ch_det@0.001(test-thr),ch_det@0.001(val-thr),test_tpr@0.001(val-thr),test_fpr@0.001(val-thr),n_test_mal_known_fam,n_test_mal_novel_fam,n_test_mal_nofam,tpr@0.01_known_fam,tpr@0.01_novel_fam,tpr@0.01_nofam,ch_det@0.01_known_fam,ch_det@0.01_novel_fam,ch_det@0.01_nofam,tpr@0.01_lowconsensus_q1,tpr@0.01_highconsensus,wk52_tpr@0.01,wk53_tpr@0.01,wk54_tpr@0.01,wk55_tpr@0.01,wk56_tpr@0.01,wk57_tpr@0.01,wk58_tpr@0.01,wk59_tpr@0.01,wk60_tpr@0.01,wk61_tpr@0.01,wk62_tpr@0.01,wk63_tpr@0.01,best_iter,train_sec,infer_us
APK,moe_full,48000,0.9736138411458333,0.9738308832995447,0.6740833333333334,0.17154166666666668,0.26953125,0.26953125,0.663625,0.009,0.05859375,0.06640625,0.22108333333333333,0.0012083333333333334,17877,91,6032,0.6783576662751021,0.5714285714285714,0.6629641909814323,0.2422680412371134,0.2857142857142857,0.36363636363636365,0.6186880604058518,0.6940429632148728,0.7435,0.684,0.6735,0.584,0.6725,0.662,0.726,0.694,0.632,0.6735,0.6865,0.6575,0.0,645.0721576213837,8.368139465649922
Dot_Net,moe_full,59953,0.9931244794622688,0.9899693286270732,0.8794333333333333,0.1386,0.7539203860072377,0.773220747889023,0.9156666666666666,0.011952058224551797,0.04945717732207479,0.5367913148371531,0.19653333333333334,0.001669281874937402,24967,218,4815,0.896142908639404,0.7706422018348624,0.7867082035306334,0.3614457831325301,0.2,0.8621745788667687,0.789662027833002,0.9072366956134491,0.8816,0.8548,0.8872,0.8784,0.8816,0.8848,0.8904,0.8832,0.8904,0.8688,0.8536,0.8772,0.0,645.0721576213837,7.6535692438141485
ELF,moe_full,5989,0.978878443180551,0.9633522895313597,0.44633333333333336,0.009666666666666667,0.27202072538860106,0.5233160621761658,0.8456666666666667,0.022750083640013383,0.054404145077720206,0.07772020725388601,0.015333333333333332,0.0016728002676480427,2835,28,137,0.4017636684303351,0.32142857142857145,0.24817518248175183,0.35877862595419846,0.2,0.22857142857142856,0.35495716034271724,0.4086120018323408,0.308,0.372,0.396,0.392,0.504,0.42,0.424,0.308,0.512,0.448,0.292,0.352,0.0,645.0721576213837,5.577020204053297
PDF,moe_full,12000,0.9844713055555554,0.988423742807411,0.91,0.6546666666666666,0.5316770186335403,0.5838509316770186,0.9438333333333333,0.02033333333333333,0.21987577639751552,0.34782608695652173,0.7188333333333333,0.0028333333333333335,1307,44,4649,0.8508033664881408,0.8863636363636364,0.9260055926005593,0.46564885496183206,0.5,0.5446428571428571,0.8611111111111112,0.9261006289308176,0.982,0.96,0.908,0.926,0.902,0.952,0.93,0.872,0.844,0.844,0.864,0.928,0.0,645.0721576213837,6.946722666422526
Win32,moe_full,359994,0.9966835838509431,0.996667484301877,0.9500611111111111,0.7413388888888889,0.4855813953488372,0.4790697674418605,0.94205,0.008366945564852162,0.16124031007751938,0.1516279069767442,0.7299444444444444,0.0009000300010000333,158944,967,20089,0.9584885242601168,0.8810754912099276,0.8867041664592563,0.5794473229706391,0.0,0.24888888888888888,0.870425967019101,0.9773714132235104,0.9572666666666667,0.9577333333333333,0.9606,0.9595333333333333,0.9594,0.9508666666666666,0.9589333333333333,0.9484666666666667,0.9324666666666667,0.9424,0.9416,0.9314666666666667,0.0,645.0721576213837,12.697801689732414
Win64,moe_full,119993,0.996237112524239,0.9952436940054592,0.9692666666666667,0.39981666666666665,0.4950859950859951,0.4582309582309582,0.9679166666666666,0.009267747903922124,0.08722358722358722,0.08230958230958231,0.36698333333333333,0.0008334305668994716,46046,1225,12729,0.9746992138296486,0.9526530612244898,0.9507423992458166,0.5105740181268882,0.3076923076923077,0.48936170212765956,0.9385474860335196,0.9795690521379926,0.9714,0.9646,0.9644,0.9648,0.9736,0.9736,0.9686,0.9586,0.9778,0.9772,0.9736,0.9618,0.0,645.0721576213837,10.008275199415115
