file_type,variant,n,roc_auc,pr_auc,tpr@0.01,tpr@0.001,ch_det@0.01(test-thr),ch_det@0.01(val-thr),test_tpr@0.01(val-thr),test_fpr@0.01(val-thr),ch_det@0.001(test-thr),ch_det@0.001(val-thr),test_tpr@0.001(val-thr),test_fpr@0.001(val-thr),n_test_mal_known_fam,n_test_mal_novel_fam,n_test_mal_nofam,tpr@0.01_known_fam,tpr@0.01_novel_fam,tpr@0.01_nofam,ch_det@0.01_known_fam,ch_det@0.01_novel_fam,ch_det@0.01_nofam,tpr@0.01_lowconsensus_q1,tpr@0.01_highconsensus,wk52_tpr@0.01,wk53_tpr@0.01,wk54_tpr@0.01,wk55_tpr@0.01,wk56_tpr@0.01,wk57_tpr@0.01,wk58_tpr@0.01,wk59_tpr@0.01,wk60_tpr@0.01,wk61_tpr@0.01,wk62_tpr@0.01,wk63_tpr@0.01,best_iter,train_sec,infer_us
APK,gtformer_tuned,48000,0.9774016493055556,0.9794853199783395,0.7499166666666667,0.4711666666666667,0.3203125,0.296875,0.7290833333333333,0.0085,0.16015625,0.16015625,0.4736666666666667,0.0010416666666666667,17877,91,6032,0.7598030989539631,0.5384615384615384,0.7204907161803713,0.29381443298969073,0.2857142857142857,0.41818181818181815,0.6724870221802737,0.7766819701864762,0.777,0.7605,0.7425,0.6665,0.745,0.7435,0.813,0.767,0.712,0.7525,0.7705,0.739,0.0,1322.849681854248,20.62373359998067
Dot_Net,gtformer_tuned,59953,0.9966066014533882,0.9964265187755736,0.9262,0.7206,0.7937273823884198,0.8250904704463209,0.9445666666666667,0.01292024171201549,0.6067551266586249,0.6586248492159228,0.7758,0.0014355824124461657,24967,218,4815,0.9456082028277326,0.8623853211009175,0.8284527518172378,0.4759036144578313,0.0,0.886676875957121,0.8106030483764082,0.9650411934981074,0.928,0.9232,0.9328,0.9312,0.922,0.9336,0.9288,0.9264,0.9308,0.9264,0.92,0.9112,0.0,1322.849681854248,20.610495384979465
ELF,gtformer_tuned,5989,0.9816174863387979,0.9756733938885357,0.44533333333333336,0.043,0.17098445595854922,0.38341968911917096,0.9316666666666666,0.022415523586483774,0.038860103626943004,0.17098445595854922,0.44533333333333336,0.00936768149882904,2835,28,137,0.46102292768959435,0.25,0.16058394160583941,0.2748091603053435,0.1,0.11836734693877551,0.3243574051407589,0.4906092533211177,0.436,0.496,0.484,0.508,0.512,0.448,0.408,0.336,0.392,0.412,0.448,0.464,0.0,1322.849681854248,20.52453946024254
PDF,gtformer_tuned,12000,0.9752109999999999,0.9822319555782365,0.8518333333333333,0.6708333333333333,0.5217391304347826,0.6049689440993788,0.9308333333333333,0.024833333333333332,0.2546583850931677,0.28695652173913044,0.6761666666666667,0.0015,1307,44,4649,0.7192042846212701,0.8409090909090909,0.8892234889223489,0.46564885496183206,0.5,0.5327380952380952,0.8074935400516796,0.8672506738544474,0.986,0.96,0.882,0.916,0.886,0.928,0.91,0.782,0.656,0.738,0.72,0.858,0.0,1322.849681854248,19.899348417917885
Win32,gtformer_tuned,359994,0.9976161747984191,0.9978545274047894,0.9613,0.8851666666666667,0.5116279069767442,0.49767441860465117,0.9561277777777778,0.008561396490994144,0.41488372093023257,0.3662015503875969,0.8758055555555555,0.00077780370456793,158944,967,20089,0.9695112744111134,0.8934850051706308,0.8995967942655184,0.6101036269430051,0.2222222222222222,0.2611111111111111,0.8902449636687987,0.9856678156288703,0.9646666666666667,0.9668,0.9695333333333334,0.9683333333333334,0.9696,0.9628666666666666,0.9649333333333333,0.9588,0.947,0.9552666666666667,0.9572,0.9506,0.0,1322.849681854248,20.707113949183086
Win64,gtformer_tuned,119993,0.9981365339845203,0.9983366944941218,0.97615,0.8739333333333333,0.5307125307125307,0.5257985257985258,0.9744166666666667,0.009267747903922124,0.11179361179361179,0.128992628992629,0.8925333333333333,0.0012168086276732285,46046,1225,12729,0.9815184815184815,0.9567346938775511,0.958598475921125,0.6072507552870091,0.23076923076923078,0.4851063829787234,0.9489976996385147,0.9853745673774701,0.9768,0.972,0.9718,0.9722,0.9806,0.9782,0.9766,0.9718,0.9836,0.982,0.9796,0.9686,0.0,1322.849681854248,20.198617446409962
