model,region,n,n_mal,roc_auc,pr_auc,tpr@0.01,tpr@0.001,known_tpr@0.01,novel_tpr@0.01,novel_tpr@0.001,n_novel,trojan_tpr@0.01,worm_tpr@0.01,backdoor_tpr@0.01,downloader_tpr@0.01,ransomware_tpr@0.01,dropper_tpr@0.01,fpr_at_val_thr
lgbm_plain,2020-06,12399,4217,0.999975364813778,,0.9976286459568413,,,1.0,,,,,,,,,0.0018332925934979223
lgbm_plain,2020-07,11387,4995,0.9999329429554711,,0.9953953953953953,,,0.9845938375350141,,,,,,,,,0.0020337922403003755
lgbm_plain,2020-08,6337,3823,0.9999863698158218,,0.9968611038451478,,,0.9819819819819819,,,,,,,,,0.0011933174224343676
lgbm_plain,2020-09,8775,4577,0.9999076206269036,,0.994537906925934,,,0.9835164835164835,,,,,,,,,0.0016674606955693187
mlp_plain,test,60309,27701,0.9993584771989859,0.9992964159769067,0.9863903830186636,0.9652359120609364,0.9875028316846636,0.9621399176954732,0.9193415637860082,1215.0,0.9707099122952176,0.9997978981406629,0.9986645893612286,0.9976019184652278,0.9771986970684039,0.9902912621359223,
mlp_plain,2020-04,9841,4640,0.9997117182372091,,0.9954741379310345,,,0.9767441860465116,,,,,,,,,0.011728513747356277
mlp_plain,2020-05,11570,5449,0.9993381770077585,,0.9906404844925675,,,0.8823529411764706,,,,,,,,,0.009312203888253554
mlp_plain,2020-06,12399,4217,0.9997719796145863,,0.994783021105051,,,0.9682539682539683,,,,,,,,,0.01344414568565143
mlp_plain,2020-07,11387,4995,0.9995082692204095,,0.9835835835835836,,,0.9803921568627451,,,,,,,,,0.010168961201501877
mlp_plain,2020-08,6337,3823,0.999371138678072,,0.9798587496730317,,,0.963963963963964,,,,,,,,,0.0059665871121718375
mlp_plain,2020-09,8775,4577,0.9988948824741809,,0.979462530041512,,,0.945054945054945,,,,,,,,,0.008337303477846593
proto_plain,test,60309,27701,0.9993360045103823,0.999295920353315,0.9938630374354717,0.9823472076820331,0.9952427697651589,0.9637860082304527,0.9374485596707819,1215.0,0.9877544266093,0.9998989490703315,0.9986645893612286,0.9976019184652278,0.9804560260586319,0.9902912621359223,
proto_plain,2020-04,9841,4640,0.9989338920234172,,0.9959051724137931,,,0.9534883720930233,,,,,,,,,0.007883099403960777
proto_plain,2020-05,11570,5449,0.9991752247579245,,0.9913745641402092,,,0.8823529411764706,,,,,,,,,0.007188367913739585
proto_plain,2020-06,12399,4217,0.9998454069608139,,0.9962058335309462,,,0.9523809523809523,,,,,,,,,0.011610853092153508
proto_plain,2020-07,11387,4995,0.9995103363689095,,0.9915915915915916,,,0.9775910364145658,,,,,,,,,0.012515644555694618
proto_plain,2020-08,6337,3823,0.9993539708888398,,0.9952916557677217,,,0.954954954954955,,,,,,,,,0.006364359586316627
proto_plain,2020-09,8775,4577,0.9993336714852095,,0.991479134804457,,,0.967032967032967,,,,,,,,,0.0064316341114816575
ens_gt_lgbm,test,60309,27701,0.9998321622618499,0.9998248666294839,0.997689614093354,0.9918414497671564,0.9982632334063278,0.9851851851851852,0.9654320987654321,1215.0,0.9953665397981135,1.0,0.9993322946806142,0.9976019184652278,0.993485342019544,1.0,
ens_gt_lgbm,2020-04,9841,4640,0.9999862841363398,,0.9939655172413793,,,0.9534883720930233,,,,,,,,,0.00019227071716977504
ens_gt_lgbm,2020-05,11570,5449,0.9998014291167157,,0.9873371260781795,,,0.8921568627450981,,,,,,,,,0.0
ens_gt_lgbm,2020-06,12399,4217,0.9998915472154791,,0.9886175005928385,,,0.873015873015873,,,,,,,,,0.0002444390124663896
ens_gt_lgbm,2020-07,11387,4995,0.9997741796865702,,0.9743743743743744,,,0.9719887955182073,,,,,,,,,0.00015644555694618273
ens_gt_lgbm,2020-08,6337,3823,0.9997516393157773,,0.9725346586450432,,,0.9369369369369369,,,,,,,,,0.0
ens_gt_lgbm,2020-09,8775,4577,0.9998702004752099,,0.9652610880489404,,,0.8736263736263736,,,,,,,,,0.00023820867079561695
ens_gttuned_lgbm,test,60309,27701,0.9999160321424787,0.9999066757147679,0.9984838092487636,0.9945128334717158,0.9990938609076493,0.9851851851851852,0.9711934156378601,1215.0,0.996938606652325,1.0,0.9997774315602047,0.9976019184652278,0.990228013029316,1.0,
ens_gttuned_lgbm,2020-04,9841,4640,0.9999791982974097,,0.9967672413793104,,,0.9534883720930233,,,,,,,,,0.0026917900403768506
ens_gttuned_lgbm,2020-05,11570,5449,0.9999018388839087,,0.9950449623784181,,,0.9215686274509803,,,,,,,,,0.0006534879921581441
ens_gttuned_lgbm,2020-06,12399,4217,0.9999690755956484,,0.9964429689352621,,,1.0,,,,,,,,,0.002199951112197507
ens_gttuned_lgbm,2020-07,11387,4995,0.9998465925249405,,0.9943943943943944,,,0.9817927170868347,,,,,,,,,0.0015644555694618273
ens_gttuned_lgbm,2020-08,6337,3823,0.9999450630744576,,0.9973842532042898,,,0.9819819819819819,,,,,,,,,0.0007955449482895784
ens_gttuned_lgbm,2020-09,8775,4577,0.9999240147128333,,0.994537906925934,,,0.9615384615384616,,,,,,,,,0.0016674606955693187
ens_mlp_lgbm,test,60309,27701,0.9998792066694325,0.9998652228865352,0.9980867116710588,0.9894227645211364,0.9983765007928717,0.9917695473251029,0.951440329218107,1215.0,0.9960284626840973,1.0,0.9997774315602047,0.9976019184652278,0.990228013029316,1.0,
ens_mlp_lgbm,2020-04,9841,4640,0.9999423395036764,,0.9974137931034482,,,0.9767441860465116,,,,,,,,,0.006921745818111902
ens_mlp_lgbm,2020-05,11570,5449,0.9998229562032623,,0.9948614424665077,,,0.9117647058823529,,,,,,,,,0.004901159941186081
ens_mlp_lgbm,2020-06,12399,4217,0.9999588302564372,,0.9976286459568413,,,1.0,,,,,,,,,0.005255438768027377
ens_mlp_lgbm,2020-07,11387,4995,0.999948885055268,,0.9943943943943944,,,0.9831932773109243,,,,,,,,,0.0037546933667083854
ens_mlp_lgbm,2020-08,6337,3823,0.9999197796030432,,0.9968611038451478,,,0.9819819819819819,,,,,,,,,0.003579952267303103
ens_mlp_lgbm,2020-09,8775,4577,0.9997500552454673,,0.9936639720340834,,,0.9725274725274725,,,,,,,,,0.0035731300619342545
